RegionID,SizeRank,RegionName,RegionType,StateName,Date,ZHVI
60,19,Wisconsin,state,,2000-08-31,122651.48066098076
10,20,Colorado,state,,2000-08-31,187014.4790034825
31,21,Minnesota,state,,2000-08-31,131531.51955091674
51,22,South Carolina,state,,2000-08-31,117361.4447740679
4,23,Alabama,state,,2000-08-31,101843.87358851956
25,24,Louisiana,state,,2000-08-31,111605.04973661872
24,25,Kentucky,state,,2000-08-31,90158.55559114096
46,26,Oregon,state,,2000-08-31,154790.87653176291
45,27,Oklahoma,state,,2000-08-31,85288.17249887293
11,28,Connecticut,state,,2000-08-31,168534.54019363245
55,30,Utah,state,,2000-08-31,174716.15680010803
19,31,Iowa,state,,2000-08-31,92815.299721406
42,32,Nevada,state,,2000-08-31,157957.7502092824
6,33,Arkansas,state,,2000-08-31,90764.07591879816
34,34,Mississippi,state,,2000-08-31,90667.23734136956
23,35,Kansas,state,,2000-08-31,90116.10747908778
41,36,New Mexico,state,,2000-08-31,
38,37,Nebraska,state,,2000-08-31,116456.2518268246
20,38,Idaho,state,,2000-08-31,125573.06667266542
61,39,West Virginia,state,,2000-08-31,73785.02066227082
18,40,Hawaii,state,,2000-08-31,199490.97155286837
39,41,New Hampshire,state,,2000-08-31,139774.4193536796
28,42,Maine,state,,2000-08-31,110953.0753375585
50,43,Rhode Island,state,,2000-08-31,138008.78793884596
35,44,Montana,state,,2000-08-31,
13,45,Delaware,state,,2000-08-31,152614.96973230012
52,46,South Dakota,state,,2000-08-31,106304.45636516396
37,47,North Dakota,state,,2000-08-31,
3,48,Alaska,state,,2000-08-31,137500.1600557842
12,49,District of Columbia,state,,2000-08-31,171741.9483657295
58,50,Vermont,state,,2000-08-31,119299.7206293363
62,51,Wyoming,state,,2000-08-31,
9,0,California,state,,2000-09-30,203799.0638300065
54,1,Texas,state,,2000-09-30,113610.38710689826
14,2,Florida,state,,2000-09-30,112165.40607457318
43,3,New York,state,,2000-09-30,161565.82422534787
47,4,Pennsylvania,state,,2000-09-30,101947.2052448394
21,5,Illinois,state,,2000-09-30,133331.95492228933
44,6,Ohio,state,,2000-09-30,107749.70728410716
16,7,Georgia,state,,2000-09-30,131536.22701920226
36,8,North Carolina,state,,2000-09-30,132120.5522841337
30,9,Michigan,state,,2000-09-30,120779.43322461384
40,10,New Jersey,state,,2000-09-30,179157.186201012
56,11,Virginia,state,,2000-09-30,129184.99421066746
59,12,Washington,state,,2000-09-30,180523.6178816202
8,13,Arizona,state,,2000-09-30,140373.1766785091
26,14,Massachusetts,state,,2000-09-30,211083.8467769957
53,15,Tennessee,state,,2000-09-30,114133.84113749838
22,16,Indiana,state,,2000-09-30,98001.55133768106
27,17,Maryland,state,,2000-09-30,155350.37909952112
32,18,Missouri,state,,2000-09-30,100346.43774431758
60,19,Wisconsin,state,,2000-09-30,123314.78698442288
10,20,Colorado,state,,2000-09-30,189170.8793994349
31,21,Minnesota,state,,2000-09-30,133341.04280074494
51,22,South Carolina,state,,2000-09-30,117897.0261201253
4,23,Alabama,state,,2000-09-30,102160.34114827604
25,24,Louisiana,state,,2000-09-30,111980.32062749976
24,25,Kentucky,state,,2000-09-30,90590.7378078407
46,26,Oregon,state,,2000-09-30,155186.24501839234
45,27,Oklahoma,state,,2000-09-30,85613.58331773836
11,28,Connecticut,state,,2000-09-30,169801.15162511336
55,30,Utah,state,,2000-09-30,175243.09772737345
19,31,Iowa,state,,2000-09-30,93171.9391113898
42,32,Nevada,state,,2000-09-30,158522.47390749134
6,33,Arkansas,state,,2000-09-30,91103.81072767124
34,34,Mississippi,state,,2000-09-30,91017.615192633
23,35,Kansas,state,,2000-09-30,90460.89002011067
41,36,New Mexico,state,,2000-09-30,
38,37,Nebraska,state,,2000-09-30,116725.70508371126
20,38,Idaho,state,,2000-09-30,125902.57035057228
61,39,West Virginia,state,,2000-09-30,74082.17050972731
18,40,Hawaii,state,,2000-09-30,200798.9059905839
39,41,New Hampshire,state,,2000-09-30,141413.5373347935
28,42,Maine,state,,2000-09-30,111811.77613887744
50,43,Rhode Island,state,,2000-09-30,139072.9329086648
35,44,Montana,state,,2000-09-30,
13,45,Delaware,state,,2000-09-30,153370.02135658634
52,46,South Dakota,state,,2000-09-30,106524.3656082108
37,47,North Dakota,state,,2000-09-30,
3,48,Alaska,state,,2000-09-30,137682.4676585398
12,49,District of Columbia,state,,2000-09-30,172919.00770032944
58,50,Vermont,state,,2000-09-30,120030.81212757068
62,51,Wyoming,state,,2000-09-30,
9,0,California,state,,2000-10-31,206238.42729200225
54,1,Texas,state,,2000-10-31,113902.6133151203
14,2,Florida,state,,2000-10-31,112851.28473005776
43,3,New York,state,,2000-10-31,162517.14846267458
47,4,Pennsylvania,state,,2000-10-31,102371.107199046
21,5,Illinois,state,,2000-10-31,134790.455076096
44,6,Ohio,state,,2000-10-31,108242.30006992035
16,7,Georgia,state,,2000-10-31,132458.492367167
36,8,North Carolina,state,,2000-10-31,132613.66362668193
30,9,Michigan,state,,2000-10-31,121572.47529296018
40,10,New Jersey,state,,2000-10-31,180973.2694294733
56,11,Virginia,state,,2000-10-31,130072.9849332507
59,12,Washington,state,,2000-10-31,181195.9771414414
8,13,Arizona,state,,2000-10-31,141057.41856653042
26,14,Massachusetts,state,,2000-10-31,214207.13162022643
53,15,Tennessee,state,,2000-10-31,114473.68201766803
22,16,Indiana,state,,2000-10-31,98464.75340301228
27,17,Maryland,state,,2000-10-31,156127.0640596545
32,18,Missouri,state,,2000-10-31,101041.28131066955
60,19,Wisconsin,state,,2000-10-31,123964.26090744122
10,20,Colorado,state,,2000-10-31,191312.72305879704
31,21,Minnesota,state,,2000-10-31,135192.92727716104
51,22,South Carolina,state,,2000-10-31,118424.19332410168
4,23,Alabama,state,,2000-10-31,102523.47250028118
25,24,Louisiana,state,,2000-10-31,112424.7191712368
24,25,Kentucky,state,,2000-10-31,90994.492703478
46,26,Oregon,state,,2000-10-31,155583.39084391645
